country,country_code,longitude,latitude,PC1,PC2
Swiss-French,CH,6.15,46.2,0.0059,0.0024
Italy,IT,12.5,42.0,-0.0615,-0.0262
Portugal,PT,-8.0163924833239,39.5909680725474,-0.019,0.0365
Swiss-French,CH,6.15,46.2,0.0102,0.0001
Swiss-German,CH,8.55,47.36,0.0053,-0.0035
France,FR,2.39432767075193,46.6058680055316,0.0055,0.01
Sweden,SE,18.0,59.35,0.0446,-0.0237
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0352,0.0066
Swiss-French,CH,6.15,46.2,0.0124,-0.0014
France,FR,2.39432767075193,46.6058680055316,0.0052,0.0195
Norway,NO,10.68,59.93,0.0421,0.0016
Italy,IT,12.5,42.0,-0.0467,-0.0111
Swiss-German,CH,8.55,47.36,0.0035,-0.0046
Germany,DE,10.3589016293772,51.0835556416166,0.0079,-0.0059
Swiss-Italian,CH,8.95,46.0,-0.0458,-0.02
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0154,0.0264
France,FR,2.39432767075193,46.6058680055316,0.0116,0.0016
Swiss-French,CH,6.15,46.2,0.0079,-0.0088
Italy,IT,12.5,42.0,-0.0096,-0.0135
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0195,0.0468
France,FR,2.39432767075193,46.6058680055316,-0.0042,0.0061
France,FR,2.39432767075193,46.6058680055316,0.0102,-0.0073
Swiss-French,CH,6.15,46.2,0.0087,-0.0115
Germany,DE,10.3589016293772,51.0835556416166,0.0273,-0.0133
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0336,-0.0014
Swiss-German,CH,8.55,47.36,0.0077,-0.0005
Swiss-French,CH,6.15,46.2,0.0075,-0.0017
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0204,0.0459
Germany,DE,10.3589016293772,51.0835556416166,0.0114,-0.0033
Swiss-German,CH,8.55,47.36,0.0154,-0.0049
Netherlands,NL,5.66711565691123,52.2661386478456,0.0229,-0.0039
Belgium,BE,4.61479191810973,50.6615342351454,0.0228,-0.0081
France,FR,2.39432767075193,46.6058680055316,0.0146,0.0035
France,FR,2.39432767075193,46.6058680055316,0.0078,0.0233
Italy,IT,12.5,42.0,-0.0557,-0.0183
Swiss-German,CH,8.55,47.36,0.0073,-0.0075
Spain,ES,-3.56611484727657,40.3287080082217,-0.0157,0.0318
Swiss-German,CH,8.55,47.36,0.0095,0.0064
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0143,0.0325
Germany,DE,10.3589016293772,51.0835556416166,0.0212,-0.0209
Swiss-German,CH,8.55,47.36,0.0083,0.006
Italy,IT,12.5,42.0,-0.0553,-0.0198
Swiss-French,CH,6.15,46.2,0.0054,-0.0049
Italy,IT,12.5,42.0,-0.0509,-0.0274
Poland,PL,19.394607648779,52.14189866452,0.0307,-0.0514
Cyprus,CY,33.1996854536619,35.0981563694544,-0.0734,-0.0392
Germany,DE,10.3589016293772,51.0835556416166,0.04,-0.0336
France,FR,2.39432767075193,46.6058680055316,0.0109,0.0083
Austria,AT,14.1174253717318,47.59249681831,0.0029,0.0015
Italy,IT,12.5,42.0,-0.0544,-0.0183
France,FR,2.39432767075193,46.6058680055316,0.0174,0.0119
Germany,DE,10.3589016293772,51.0835556416166,0.0213,-0.0123
Italy,IT,12.5,42.0,-0.0388,-0.0115
Italy,IT,12.5,42.0,-0.0307,-0.0006
Swiss-German,CH,8.55,47.36,0.0048,-0.0039
France,FR,2.39432767075193,46.6058680055316,-0.0003,0.034
Swiss-French,CH,6.15,46.2,0.0026,0.0012
Spain,ES,-3.56611484727657,40.3287080082217,-0.0178,0.0407
Russian Federation,RU,37.5,55.75,0.0396,-0.0607
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0187,0.0417
Swiss-French,CH,6.15,46.2,0.0105,-0.0018
Germany,DE,10.3589016293772,51.0835556416166,0.0222,-0.0297
Italy,IT,12.5,42.0,-0.0158,0.0055
Swiss-French,CH,6.15,46.2,0.0011,0.0
Spain,ES,-3.56611484727657,40.3287080082217,-0.0141,0.0418
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0215,0.0449
France,FR,2.39432767075193,46.6058680055316,0.0202,0.0198
Italy,IT,12.5,42.0,-0.0556,-0.0175
Swiss-German,CH,8.55,47.36,0.0095,-0.0136
France,FR,2.39432767075193,46.6058680055316,-0.0117,0.0023
Swiss-French,CH,6.15,46.2,0.0026,0.0091
Swiss-German,CH,8.55,47.36,0.0076,-0.0052
Swiss-Italian,CH,8.95,46.0,-0.0191,-0.0099
Serbia and Montenegro,RS,20.6157230848337,43.9494926410995,-0.0027,-0.0509
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0135,0.0252
Swiss-French,CH,6.15,46.2,0.0083,-0.006
Spain,ES,-3.56611484727657,40.3287080082217,-0.0143,0.0345
Swiss-German,CH,8.55,47.36,0.0044,-0.0061
Swiss-French,CH,6.15,46.2,0.0106,0.0044
Italy,IT,12.5,42.0,-0.047,-0.0133
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0129,0.0443
Swiss-German,CH,8.55,47.36,0.0097,0.0077
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0209,0.0477
Swiss-French,CH,6.15,46.2,0.0079,0.004
Netherlands,NL,5.66711565691123,52.2661386478456,0.03,-0.002
Swiss-French,CH,6.15,46.2,0.0062,0.0106
Spain,ES,-3.56611484727657,40.3287080082217,-0.0136,0.0345
Spain,ES,-3.56611484727657,40.3287080082217,-0.0236,0.0463
France,FR,2.39432767075193,46.6058680055316,0.0031,0.0225
Swiss-German,CH,8.55,47.36,0.0116,-0.0038
Italy,IT,12.5,42.0,-0.047,-0.0184
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0289,0.0019
France,FR,2.39432767075193,46.6058680055316,0.0094,0.0103
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0179,0.0483
Italy,IT,12.5,42.0,-0.0472,-0.0146
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0183,0.0334
Portugal,PT,-8.0163924833239,39.5909680725474,-0.025,0.0358
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0227,0.0528
Italy,IT,12.5,42.0,-0.0309,-0.0136
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0188,0.0409
Swiss-French,CH,6.15,46.2,0.0094,0.0056
France,FR,2.39432767075193,46.6058680055316,-0.004,0.0117
Belgium,BE,4.61479191810973,50.6615342351454,0.0143,-0.001
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0201,0.0562
Swiss-French,CH,6.15,46.2,-0.0002,-0.0007
Swiss-French,CH,6.15,46.2,0.0055,0.0103
Italy,IT,12.5,42.0,-0.0541,-0.01
France,FR,2.39432767075193,46.6058680055316,0.0054,0.0168
Italy,IT,12.5,42.0,-0.0415,-0.0076
Swiss-French,CH,6.15,46.2,0.0015,-0.0027
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0151,0.0405
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0174,0.0443
Swiss-French,CH,6.15,46.2,0.0101,-0.0004
Swiss-German,CH,8.55,47.36,0.011,0.0003
Italy,IT,12.5,42.0,-0.0114,-0.0231
Italy,IT,12.5,42.0,-0.0625,-0.0184
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0164,0.0469
Italy,IT,12.5,42.0,-0.0228,-0.0103
Spain,ES,-3.56611484727657,40.3287080082217,-0.0192,0.0216
Spain,ES,-3.56611484727657,40.3287080082217,-0.0139,0.0324
Swiss-German,CH,8.55,47.36,0.0095,0.001
Spain,ES,-3.56611484727657,40.3287080082217,-0.0127,0.0253
Italy,IT,12.5,42.0,-0.0491,-0.0223
France,FR,2.39432767075193,46.6058680055316,0.0017,0.0191
France,FR,2.39432767075193,46.6058680055316,0.014,0.0158
Belgium,BE,4.61479191810973,50.6615342351454,0.0237,0.0018
France,FR,2.39432767075193,46.6058680055316,0.0128,0.0051
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0212,0.0286
Swiss-French,CH,6.15,46.2,0.0029,-0.0023
France,FR,2.39432767075193,46.6058680055316,0.0019,0.0119
Italy,IT,12.5,42.0,-0.0527,-0.0155
