SpecimenID,Tree_name,Family,Order,Total_weight,Standard_length,Max_body_depth,Max_fish_width,Head_depth,Lower_jaw_length,Mouth_width,Min_caudalpeduncle_depth,Min_caudalpeduncle_width
275911,Neoglyphidodon_polyacanthus,Pomacentridae,Perciformes,74.35,105.37,58.31,25.25,26.36,9.6,7.86,16.86,2.65
275911,Neoglyphidodon_polyacanthus,Pomacentridae,Perciformes,70.7,108,58.81,23.55,27.72,9.88,8.59,16.1,2.3
275911,Neoglyphidodon_polyacanthus,Pomacentridae,Perciformes,78.32,111.28,62.55,25.27,30.04,10.12,8.79,17.18,2.66
95687,Neoglyphidodon_thoracotaeniatus,Pomacentridae,Perciformes,12.69,61.79,32.2,10.84,18.53,5.43,4.36,10.4,1.92
95695,Neoglyphidodon_thoracotaeniatus,Pomacentridae,Perciformes,9.36,55.91,32.61,9.71,16.23,5.74,4.8,9.83,1.83
95685,Neoglyphidodon_thoracotaeniatus,Pomacentridae,Perciformes,17.3,69.62,34.74,12.55,19.36,7.56,4.45,11.08,2.17
143880,Neogobius_fluviatilis,Gobiidae,Perciformes,10.88,86.74,18.19,23.3,15.87,13.26,13.7,6.93,2.36
273413,Neogobius_fluviatilis,Gobiidae,Perciformes,18.23,102.72,19.8,20.42,13.69,12.08,10.67,11.65,2.63
273413,Neogobius_fluviatilis,Gobiidae,Perciformes,20.12,97.43,20.94,21.51,15.19,12.44,11.83,7.63,2.21
247524,Neoheterandria_tridentiger,Poeciliidae,Cyprinodontiformes,1.12,32.94,10.09,7.16,4.9,2.75,2.11,5.44,0.82
247524,Neoheterandria_tridentiger,Poeciliidae,Cyprinodontiformes,1.32,33.19,11.27,7.47,5.14,3.01,2.36,6.18,0.95
247524,Neoheterandria_tridentiger,Poeciliidae,Cyprinodontiformes,1.65,34.54,12.29,9.05,5.63,2.96,2.48,6.08,1.01
331326,Neolamprologus_brichardi,Cichlidae,Perciformes,4.1,51.35,16.4,8.2,10.4,7,3.9,6.9,1.1
331350,Neolamprologus_modestus,Cichlidae,Perciformes,8.5,72.55,19.69,11.45,15.76,9.77,5.92,8.86,2.07
331350,Neolamprologus_modestus,Cichlidae,Perciformes,11.3,78.53,21.78,13.01,17.02,11.09,6.24,9.83,2.66
84128,Neolamprologus_mondabu,Cichlidae,Perciformes,4.8,59.39,17.43,10.55,13.22,7.89,4.85,7.81,1.95
84128,Neolamprologus_mondabu,Cichlidae,Perciformes,6.8,67.93,18.9,11.11,16.27,7.65,5.62,8.98,1.53
84128,Neolamprologus_mondabu,Cichlidae,Perciformes,9.3,77.31,22.32,12.66,19.03,9.65,6.73,9.78,2.08
331327,Neolamprologus_savoryi,Cichlidae,Perciformes,2.5,46.64,14.64,7.52,9.36,6.8,3.57,6.39,1.29
176373,Neolamprologus_tetracanthus,Cichlidae,Perciformes,10.3,85.45,20.69,12.07,17.44,10.95,7.92,10.21,2.38
331356,Neolamprologus_tetracanthus,Cichlidae,Perciformes,11.4,84.11,21.52,12.71,15.29,10.62,7.13,9.91,1.78
317803,Neolamprologus_tetracanthus,Cichlidae,Perciformes,8.4,76.37,23.12,13.86,16.62,10.82,7.53,9.19,1.73
301201,Neolebias_powelli,Distichodontidae,Characiformes,0.05,13.64,3.18,2.05,1.96,0.88,0.67,1.67,0.3
301201,Neolebias_powelli,Distichodontidae,Characiformes,0.08,13.8,3.6,2.19,2.09,1.41,0.62,1.8,0.36
301201,Neolebias_powelli,Distichodontidae,Characiformes,0.07,13.94,3.83,2.22,2.35,0.99,0.92,1.64,0.39
175435,Neolebias_trilineatus,Distichodontidae,Characiformes,0.3,24.55,5.29,3.46,4.02,3.43,0.91,2.7,0.65
227392,Neolebias_trilineatus,Distichodontidae,Characiformes,0.5,29.76,8.76,4.08,4.46,3.52,1.02,3.94,0.75
176358,Neolebias_trilineatus,Distichodontidae,Characiformes,0.7,33.36,8.97,4.71,5.41,3.77,1.23,4.31,0.88
390750,Neolissochilus_hexagonolepis,Cyprinidae,Cypriniformes,68.4,145.3,45.8,24.9,21.7,11.5,8.5,17.7,3.1
372188,Neolissochilus_hexagonolepis,Cyprinidae,Cypriniformes,188.7,192.3,57.4,34.3,27.5,17.5,11,23.6,5.2
344672,Neolissochilus_hexagonolepis,Cyprinidae,Cypriniformes,176.3,204.89,67.6,29.9,27.2,19.8,10,23.2,6.3
344672,Neolissochilus_hexastichus,Cyprinidae,Cypriniformes,150.1,198.78,64.64,30.42,28.24,20.09,13.68,22.1,4.66
157557,Neomerinthe_hemingwayi,Scorpaenidae,Scorpaeniformes,240.7,207.12,63.82,51.39,45.62,43.76,31.31,21.33,4.62
157558,Neomerinthe_hemingwayi,Scorpaenidae,Scorpaeniformes,546.5,264.01,74.46,73.47,59.06,57.14,44.84,28.49,7.26
157671,Neomerinthe_hemingwayi,Scorpaenidae,Scorpaeniformes,503.7,246.62,81.27,67.69,57.19,55.77,43.34,26.07,6.81
266038,Neomerinthe_rotunda,Scorpaenidae,Scorpaeniformes,15.6,70.02,29.13,20.12,22.35,17.74,14.47,7.01,2.07
265024,Neonesthes_capensis,Stomiidae,Stomiiformes,11.45,141.6,20.5,13,16.6,23.2,8.8,5.4,1.6
UNCAT,Neonesthes_capensis,Stomiidae,Stomiiformes,12.77,138.8,21.7,12,16.6,23.6,7.7,6.2,1.3
UNCAT,Neonesthes_capensis,Stomiidae,Stomiiformes,14.9,140.3,23.1,11.3,17.7,23.2,7.7,7.7,1.2
392056,Neoniphon_argenteus,Holocentridae,Beryciformes,46.05,124.3,36.2,21.1,22.3,20.5,6.6,9.4,2.1
444978,Neoniphon_argenteus,Holocentridae,Beryciformes,50.07,129.9,37.2,21.2,24.4,23.8,8.5,9.8,2.2
145951,Neoniphon_argenteus,Holocentridae,Beryciformes,55.4,123.6,42.5,22.1,23.1,16.7,7.6,10,2.3
